index,text
EC76767,"<s>Human: This incident occurred on August 21, 2022, at 2:00 AM, in Vancouver, Clark County, on the 501 route increasing milepost direction at milepost 0.29. The location is an Urban - Principal Arterial. The crash was not at an intersection and not related to a driveway; the specific characteristics of the location are unknown. The roadway is classified as an Urban Multilane Undivided Non-Freeway.The level of access control is Non Limited Access Least Restrictive, speed limit is 25, average annual daily traffic is 12000. The road width is 60, the road surface is made of Asphalt, the right and left shoulders width is 0, and the surface type of the left shoulder is unknown. This road has no median separation, with no barrier in the median and the width of the median is 0. It is unknown whether it occurred in a work zone, with the lighting condition being dark and unknown, and the road surface condition is unknown.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving east, in the direction of increasing milepost, Vehicle2 was also moving east, in the direction of increasing milepost. The first vehicle's specific actions prior to the accident are unknown or not applicable, whereas the second vehicle was moving straight.The unit 1, is unknown, non-commercial vehicle. The Airbag status is unknown. The vehicle had no defects. The driver took other actions, was not ejected, and had other contributing circumstances not listed. Person 1: Motor Vehicle Driver, unknown age and sex, restraint usage is unknown.

The unit 2, is unknown, non-commercial vehicle. The Airbag did not deploy. The vehicle had no defects. The driver was going straight ahead and was not ejected. There are no violations or factors listed for this driver. Person 1: Motor Vehicle Driver, Male, 50, Lap & Shoulder Used.
</s><s>Assistant: <ONE>
<\s>"
EC29240,"<s>Human: This incident occurred on March 17, 2022, at 6:00 AM, in Hoquiam, Grays Harbor, on the 101 route increasing milepost direction at milepost 1.63. The location is an Urban - Principal Arterial, not at an intersection and not related to a driveway or any other characteristic, as the information is not provided. The roadway classification at the time of the accident was Urban 2 Lane Roads.The level of access control is Non Limited Access Less Restrictive, speed limit is 30, average annual daily traffic is 12000. The road width is 34, the road surface is made of Asphalt, the right and left shoulders width is 0, and the surface type of the left shoulder is unknown. This road is not median-separated, with an unknown type of barrier in the median, and the width of median is 0. The occurrence in the work zone is unknown, under conditions where the road surface was wet and the lighting condition was dark with street lights on.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving east, in the direction of increasing milepost, Vehicle2 was also moving east, in the direction of increasing milepost. The first vehicle was moving straight when the second vehicle was parked.The unit 1, is unknown, non-commercial vehicle. The airbag status is unknown. The vehicle had no defects. The driver was going straight ahead. Person 1: Motor Vehicle Driver, Male, 18, Lap & Shoulder Used. Person 2: Motor Vehicle Passenger, Male, 17, Lap & Shoulder Used.

The unit 2, is unknown, non-commercial vehicle. The airbag status and vehicle condition are unknown. The driver was legally parked and unoccupied, with no violations or contributing factors noted. Person 3: Motor Vehicle Driver, unknown age and sex, restraint use unknown.
</s><s>Assistant: <ZERO>
<\s>"
EC44629,"<s>Human: This incident occurred on May 7, 2022, at 5:00 AM, in an unknown city within Pacific county, on the 101 route increasing milepost direction at milepost 2.54. The location is a Rural - Minor Arterial. The crash was not at an intersection or related to a driveway and occurred on a Rural 2 Lane Road. Further details about the characteristics of the location were not provided.The level of access control is Non Limited Access Average Restriction, speed limit is 55, average annual daily traffic is 7800. The road width is 22, the road surface is made of Asphalt, the right and left shoulders width is 3 and unknown, and the surface type of the left shoulder is unknown. This road is not median-separated and does not have a median barrier. The status of the work zone is unknown, and the road was wet in a dark area with no street lights at the time of the accident.There were no pedestrians involved, 1 vehicle involved. The accident has influence of alcohol or drugs. There were objects involved, including an over embankment with no guardrail present and a tree or stump. Vehicle1 was moving southeast, in the direction of decreasing milepost. The description of Vehicle1's event is moving straight. Information regarding a second vehicle is not applicable as this accident involved only one vehicle.The unit 1, is an unknown special vehicle type, not a commercial vehicle. The airbag deployment status is unknown. The vehicle condition had no defects. The driver was going straight ahead, was not ejected, and was under the influence of alcohol. Person 1: Motor Vehicle Driver, Male, 18, restraint use is unknown.
</s><s>Assistant: <ZERO>
<\s>"
EC39188,"<s>Human: This incident occurred on April 15, 2022, at 3:00 PM, in Tukwila, King County, on the 005 route increasing milepost direction at milepost 0.1. The location is an Urban - Interstate, not at an intersection and not related to a driveway or any other specified characteristic. The roadway is classified as an urban freeway with less than 4 lanes.The level of access control is unknown, speed limit is unknown, average annual daily traffic is 0. The road width is 24 feet, the road surface is made of Asphalt, the right and left shoulders width is 10 feet and unknown width, respectively, and the surface type of the left shoulder is unknown. This road is not median-separated, and there is no median barrier nor a specified median width. The accident occurred outside a work zone, during daylight with the road surface being dry.There were no pedestrians involved, 2 vehicles involved. There was no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving north, in the direction of increasing milepost, Vehicle2 was also moving north, in the direction of increasing milepost. The first vehicle was attempting to change lanes to the left when the second vehicle, which was moving straight ahead.The unit 1, is an unknown, Interstate commercial vehicle with 2 axles. The airbag did not deploy. The vehicle had no defects. The driver was changing lanes, was not ejected, and had violations including not granting right of way to another vehicle and operating the vehicle recklessly or aggressively. Person 1: Motor Vehicle Driver, Male, 59, Lap & Shoulder Used.

The unit 2, is an unknown, Interstate commercial vehicle with 3 axles. The vehicle was not equipped with an airbag. The vehicle had no defects. The driver was going straight ahead and was not ejected with no contributing violations or factors reported. Person 1: Motor Vehicle Driver, Male, 66, Lap & Shoulder Used.
</s><s>Assistant: <ONE>
<\s>"
EC69441,"<s>Human: This incident occurred on July 30, 2022, at 5:00 PM, in the city of Bremerton, Kitsap County, on the 304 route increasing in the milepost direction at milepost 1.71. The location is an Urban - Principal Arterial, at an intersection and related. Due to missing data, the specific characteristics of the location are unknown. The roadway is classified as an Urban Multilane Undivided Non-Freeway.The level of access control is Non Limited Access Least Restrictive, speed limit is 25, average annual daily traffic is 20000. The road width is 44, the road surface is made of Asphalt, the right and left shoulders width is 0, and the surface type of the left shoulder is unknown. This road is not median-separated and there is no median barrier or width information given. The accident did not occur in a work zone, and the road conditions were dry under daylight.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving east, in the direction of increasing milepost, Vehicle2 was moving north, in the direction of entering major roadway from the right. The first vehicle was moving straight while the second vehicle was also moving straight.The unit 1, is an unknown special type, non-commercial vehicle. The combination of airbags deployed. The vehicle has no defects. The driver was going straight ahead, was not ejected, and violated traffic laws by disregarding traffic signs and signals. Person 1: Motor Vehicle Driver, Male, 19, Lap & Shoulder Used. 

The unit 2, is an unknown special type, non-commercial vehicle. The airbag deployment is unknown. The vehicle has no defects. The driver was going straight ahead and there is no information about ejection or violations. Person 2: Motor Vehicle Passenger, Female, 8, Lap & Shoulder Used. Person 3: Motor Vehicle Driver, Female, 32, Lap & Shoulder Used.
</s><s>Assistant: <TWO>
<\s>"
EC47726,"<s>Human: This incident occurred on May 10, 2022, at 5:00 AM, in Renton, King County, on the 405 route increasing milepost direction at milepost 4.37. The location is an Urban - Interstate, not at an intersection and not related to a driveway or any other specific location characteristics. The roadway is classified as Urban Freeways.The level of access control is Limited Access Fully Controlled, the speed limit is 60, the average annual daily traffic is 123000. The road width is 48, the road surface is made of Portland Concrete Cement, the right and left shoulders width is 6 and 0 respectively, and the surface type of the left shoulder is unknown. This road has a median that is separated by a Jersey type barrier and the median width is 16. The accident did not occur in a work zone, with the road surface conditions being dry and the lighting condition at the time being dawn.There were no pedestrians involved, 3 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving north, in the direction of increasing milepost, Vehicle2 was also moving north, in the direction of increasing milepost. The first vehicle was moving straight when the second vehicle was stopped in traffic legally standing.The unit 1 is an unknown special vehicle type and not a commercial vehicle. The Combination of Airbag Deployed. The vehicle had No Defects. The driver was Going Straight Ahead, was Not Ejected, and the violations or factors include Exceeding Reasonable Safe Speed and Following Too Closely. Person 1: Motor Vehicle Driver, Male, 64, Lap & Shoulder Used.

The unit 2 is an unknown special vehicle type and not a commercial vehicle. The vehicle was Not Airbag Equipped. The vehicle had No Defects. The driver was Stopped for Traffic, was Not Ejected, and there were no factors contributing to the accident from this driver's side. Person 2: Motor Vehicle Driver, Male, 32, Lap & Shoulder Used.

The unit 3 is a Vanette Under 10,000 lb, special vehicle type, and not a commercial vehicle. The Airbag Not Deployed. The vehicle had No Defects. The driver was Stopped for Traffic, was Not Ejected, and there were no contributing factors from this driver. Person 3: Motor Vehicle Driver, Female, 27, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC88764,"<s>Human: This incident occurred on September 25, 2022, at 11:00 AM, in Aberdeen, Grays Harbor, on the 101 route increasing milepost direction at milepost 83.97. The location is an Urban - Principal Arterial, not at an intersection and not related to a driveway. The roadway is classified as an Urban Multilane Undivided Non-Freeway.The level of access control is Non Limited Access Less Restrictive, speed limit is 30, average annual daily traffic is 11000. The road width is 48 feet, the road surface is made of Asphalt, the right and left shoulders width is unknown, and the surface type of the left shoulder is unknown. This road is not median-separated and does not have a median barrier or specified median width. The information about occurrence in a work zone is unknown, but it is noted that the accident took place in daylight and the road surface was dry.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving southwest, in the direction of increasing milepost, Vehicle2 was also moving southwest, in the direction of increasing milepost. Both vehicles were moving straight.The unit 1 is an unknown type of vehicle, not a commercial vehicle. The airbag did not deploy. The vehicle had no defects. The driver was going straight ahead, was not ejected, and had other contributing circumstances not listed as a factor in the accident. Person 1: Motor Vehicle Driver, Female, 20, Lap & Shoulder Used. Person 2: Motor Vehicle Passenger, Female, 19, Lap & Shoulder Used. Person 3: Motor Vehicle Passenger, Male, 21, Lap & Shoulder Used. Person 4: Motor Vehicle Passenger, Female, 19, Lap & Shoulder Used. Person 5: Motor Vehicle Passenger, Male, 55, Lap & Shoulder Used.

The unit 2, is a Vanette Under 10,000 lb vehicle, not a commercial vehicle. The information regarding the airbag deployment is unknown. The vehicle had no defects. The driver was going straight ahead, and there is no information on the driver's ejection or violations. Person 1: Motor Vehicle Driver, Male, 78, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC60763,"<s>Human: This incident occurred on June 30, 2022, at 3:00 PM, in Bellingham, Whatcom, on route 005 increasing milepost direction at milepost 0.04. The location is an Urban - Minor Arterial, at an intersection and related to a driveway. The specific characteristics of the location are unknown.The level of access control is unknown, speed limit is unknown, average annual daily traffic is unknown. The road width is 41 feet, the road surface is made of Asphalt, the right and left shoulders width is 0 feet, and the surface type of the left shoulder is unknown. This road is not median-separated and the median barrier type or width is not applicable. The accident did not occur in a work zone, and it happened during daylight with the road surface being dry.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving west, in the direction of increasing milepost, while Vehicle2 was also moving west, in the same direction. The first vehicle was attempting to turn right when the second vehicle was stopped in traffic, legally standing.The unit 1, is a Vanette Under 10,000 lb, non-commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was making a right turn, was not ejected and was distracted outside vehicle. Person 1: Motor Vehicle Driver, Female, 50, Lap & Shoulder Used.

The unit 2, is an unknown special vehicle type, non-commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was stopped for traffic, was not ejected and had no violations or factors contributing to the accident. Person 2: Motor Vehicle Driver, Male, 70, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC25913,"<s>Human: This incident occurred on March 6, 2022, at 8:00 AM, in unknown, Spokane, on the 291 route increasing milepost direction at milepost 9.2. The location is a Rural - Collector, on a rural 2-lane road that was not at an intersection and not related to a driveway.The level of access control is Non Limited Access Less Restrictive, speed limit is 35, average annual daily traffic is 8200. The road width is 22, the road surface is made of Asphalt, the right and left shoulders width is 4 and unknown, and the surface type of the left shoulder is unknown. This road is not median-separated and there is no data on the type of barrier in the median and the median width is 0. Unknown in work zone, it was daylight and the road surface condition was icy.There were no pedestrians involved, 1 vehicle involved. The accident has no influence of alcohol or drugs. There were objects involved, specifically a Concrete Barrier/Jersey Barrier - Face. Vehicle1 was moving North, in the direction of Increasing milepost. Since there was only one vehicle involved, there is no information about a second vehicle's movement or event. The first vehicle was moving straight.The unit 1, is a Vanette Under 10,000 lb, non-commercial vehicle. The Front Airbag Deployed. The vehicle had No Defects. The driver was Going Straight Ahead, was Not Ejected, and no violations or factors contributed to the accident. Person 1: Motor Vehicle Driver, Female, 23, Lap & Shoulder Used.
</s><s>Assistant: <ONE>
<\s>"
ED01336,"<s>Human: This incident occurred on October 1, 2022, at 3:00 PM, in Sumner, Pierce, along the 167 route increasing milepost direction at milepost 0.2. The location is an Urban - Principal Arterial, not at an intersection and not related to a driveway. The specific characteristics of the location are unknown. The roadway is classified as Urban Freeways with less than 4 lanes.The level of access control is unknown, speed limit is unknown, average annual daily traffic is 0. The road width is 15 meters, the road surface is made of Asphalt, the right and left shoulders width is 8 and 2 meters respectively, and the surface type of the left shoulder is Asphalt. This road is not median-separated, with no barriers in the median, and the width of median is 0 meters. The data does not indicate whether the accident occurred in a work zone, but it happened during daylight and the road surface condition was dry.There were no pedestrians involved, 1 vehicle involved. Whether the accident has no influence of alcohol or drugs. There were objects involved, the object being a signal pole. Vehicle1 was moving north, in the direction of increasing milepost. Vehicle2's movement is unknown. The first vehicle was moving straight.The unit 1, is an unknown type, not a commercial vehicle. The airbag deployment is unknown. The vehicle had no defects. The driver was going straight ahead with unknown ejection status and no reported violations or factors. In this unit, there are two individuals described as follows: Person 1: Motor Vehicle Passenger, Female, 7, Child Restraint Forward Facing used. Person 2: Motor Vehicle Driver, Female, 39, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
